Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,current,2024-11-01,2025-03-31,all,396785,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,current,2024-11-01,2025-03-31,3+,99196,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,current,2024-11-01,2025-03-31,1,178553,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,current,2024-11-01,2025-03-31,2,119036,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,current,2024-11-01,2025-03-31,3,79357,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,current,2024-11-01,2025-03-31,4,19839,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,first projection,2025-04-01,2025-07-31,all,396785,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,first projection,2025-04-01,2025-07-31,3+,79357,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,first projection,2025-04-01,2025-07-31,1,178553,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,first projection,2025-04-01,2025-07-31,2,138875,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,first projection,2025-04-01,2025-07-31,3,79357,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Orakzai,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,current,2024-11-01,2025-03-31,all,915405,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,current,2024-11-01,2025-03-31,3+,183081,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,current,2024-11-01,2025-03-31,1,503473,0.55
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,current,2024-11-01,2025-03-31,2,228851,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,current,2024-11-01,2025-03-31,3,137311,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,current,2024-11-01,2025-03-31,4,45770,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,first projection,2025-04-01,2025-07-31,all,915405,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,first projection,2025-04-01,2025-07-31,3+,183081,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,first projection,2025-04-01,2025-07-31,1,503473,0.55
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,first projection,2025-04-01,2025-07-31,2,228851,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,first projection,2025-04-01,2025-07-31,3,183081,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Shangla,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,current,2024-11-01,2025-03-31,all,428406,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,current,2024-11-01,2025-03-31,3+,107101,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,current,2024-11-01,2025-03-31,1,214203,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,current,2024-11-01,2025-03-31,2,107102,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,current,2024-11-01,2025-03-31,3,85681,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,current,2024-11-01,2025-03-31,4,21420,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,first projection,2025-04-01,2025-07-31,all,428406,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,first projection,2025-04-01,2025-07-31,3+,107102,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,first projection,2025-04-01,2025-07-31,1,214203,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,first projection,2025-04-01,2025-07-31,2,107102,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,first projection,2025-04-01,2025-07-31,3,107102,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tank,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,current,2024-11-01,2025-03-31,all,930442,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,current,2024-11-01,2025-03-31,3+,232610,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,current,2024-11-01,2025-03-31,1,465221,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,current,2024-11-01,2025-03-31,2,232611,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,current,2024-11-01,2025-03-31,3,186088,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,current,2024-11-01,2025-03-31,4,46522,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,first projection,2025-04-01,2025-07-31,all,930442,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,first projection,2025-04-01,2025-07-31,3+,232610,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,first projection,2025-04-01,2025-07-31,1,465221,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,first projection,2025-04-01,2025-07-31,2,232611,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,first projection,2025-04-01,2025-07-31,3,186088,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,first projection,2025-04-01,2025-07-31,4,46522,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,South Waziristan,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,current,2024-11-01,2025-03-31,all,1324152,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,current,2024-11-01,2025-03-31,3+,264831,0.2
